Case,Example,Clean pred,Adv pred,Feature,Clean value,Adversarial value,Delta,Why impossible
8class + PGD eps=0.30,Ex1,2,4,Variance,335127.2812,321832.6562,-13294.6250,"Variance should match Std^2 (within tolerance); Std=515.7482, Variance=321832.6562"
8class + PGD eps=0.30,Ex3,2,6,Variance,361611.1875,348316.5625,-13294.6250,"Variance should match Std^2 (within tolerance); Std=664.4947, Variance=348316.5625"
8class + PGD eps=0.30,Ex2,2,3,Variance,0.0000,13294.5996,13294.5996,"Variance should match Std^2 (within tolerance); Std=63.1536, Variance=13294.5996"
8class + PGD eps=0.30,Ex5,3,2,Variance,27.0400,13321.6396,13294.5996,"Variance should match Std^2 (within tolerance); Std=68.3536, Variance=13321.6396"
8class + PGD eps=0.30,Ex4,2,5,Tot sum,6000.0000,-5011.2754,-11011.2754,Tot sum must be non-negative; got -5011.2754
8class + PGD eps=0.30,Ex4,2,5,Variance,0.0000,9970.9492,9970.9492,"Variance should match Std^2 (within tolerance); Std=-15.7884, Variance=9970.9492"
8class + PGD eps=0.30,Ex1,2,4,Rate,4137.3330,-3288.2339,-7425.5669,Rate must be non-negative; got -3288.2339
8class + PGD eps=0.30,Ex3,2,6,Rate,1121.6938,-6303.8726,-7425.5664,Rate must be non-negative; got -6303.8726
8class + PGD eps=0.30,Ex5,3,2,Max,112.0000,-192.2000,-304.2000,"Max must be non-negative; got -192.2000 | Min must be <= Max; got Min=58.2000, Max=-192.2000 | AVG must lie in [Min, Max]; got Min=58.2000, AVG=215.9200, Max=-192.2000"
8class + PGD eps=0.30,Ex4,2,5,Max,60.0000,-168.1500,-228.1500,"Max must be non-negative; got -168.1500 | Min must be <= Max; got Min=60.9000, Max=-168.1500 | AVG must lie in [Min, Max]; got Min=60.9000, AVG=215.4000, Max=-168.1500"
8class + PGD eps=0.30,Ex4,2,5,AVG,60.0000,215.4000,155.4000,"AVG must lie in [Min, Max]; got Min=60.9000, AVG=215.4000, Max=-168.1500"
8class + PGD eps=0.30,Ex5,3,2,AVG,60.5200,215.9200,155.4000,"AVG must lie in [Min, Max]; got Min=58.2000, AVG=215.9200, Max=-192.2000"
8class + PGD eps=0.30,Ex1,2,4,Std,578.9018,515.7482,-63.1536,"Variance should match Std^2 (within tolerance); Std=515.7482, Variance=321832.6562"
8class + PGD eps=0.30,Ex2,2,3,Std,0.0000,63.1536,63.1536,"Variance should match Std^2 (within tolerance); Std=63.1536, Variance=13294.5996"
8class + PGD eps=0.30,Ex3,2,6,Std,601.3411,664.4947,63.1536,"Variance should match Std^2 (within tolerance); Std=664.4947, Variance=348316.5625"
34class + PGD eps=0.30,Ex3,21,13,Variance,224911.7031,211617.0938,-13294.6094,"Variance should match Std^2 (within tolerance); Std=537.4022, Variance=211617.0938"
34class + PGD eps=0.30,Ex1,8,10,Variance,0.0000,-13294.6006,-13294.6006,"Variance must be non-negative; got -13294.6006 | Variance should match Std^2 (within tolerance); Std=-63.1536, Variance=-13294.6006"
34class + PGD eps=0.30,Ex5,22,23,Variance,0.0000,-13294.6006,-13294.6006,"Variance must be non-negative; got -13294.6006 | Variance should match Std^2 (within tolerance); Std=-63.1536, Variance=-13294.6006"
34class + PGD eps=0.30,Ex2,22,23,Variance,2724.8401,-10569.7598,-13294.5999,"Variance must be non-negative; got -10569.7598 | Variance should match Std^2 (within tolerance); Std=-10.9536, Variance=-10569.7598"
34class + PGD eps=0.30,Ex4,19,12,Variance,0.0000,-9970.9512,-9970.9512,"Variance must be non-negative; got -9970.9512 | Variance should match Std^2 (within tolerance); Std=-47.3652, Variance=-9970.9512"
34class + PGD eps=0.30,Ex2,22,23,Max,592.0000,287.8000,-304.2000,"AVG must lie in [Min, Max]; got Min=68.2000, AVG=431.3800, Max=287.8000"
34class + PGD eps=0.30,Ex5,22,23,Max,592.0000,287.8000,-304.2000,"Min must be <= Max; got Min=590.2000, Max=287.8000 | AVG must lie in [Min, Max]; got Min=590.2000, AVG=436.6000, Max=287.8000"
34class + PGD eps=0.30,Ex2,22,23,AVG,586.7800,431.3800,-155.4000,"AVG must lie in [Min, Max]; got Min=68.2000, AVG=431.3800, Max=287.8000"
34class + PGD eps=0.30,Ex4,19,12,AVG,60.0000,215.4000,155.4000,"AVG must lie in [Min, Max]; got Min=61.8000, AVG=215.4000, Max=-92.1000"
34class + PGD eps=0.30,Ex5,22,23,AVG,592.0000,436.6000,-155.4000,"AVG must lie in [Min, Max]; got Min=590.2000, AVG=436.6000, Max=287.8000"
34class + PGD eps=0.30,Ex4,19,12,Max,60.0000,-92.1000,-152.1000,"Max must be non-negative; got -92.1000 | Min must be <= Max; got Min=61.8000, Max=-92.1000 | AVG must lie in [Min, Max]; got Min=61.8000, AVG=215.4000, Max=-92.1000"
34class + PGD eps=0.30,Ex1,8,10,Std,0.0000,-63.1536,-63.1536,"Std must be non-negative; got -63.1536 | Variance should match Std^2 (within tolerance); Std=-63.1536, Variance=-13294.6006"
34class + PGD eps=0.30,Ex2,22,23,Std,52.2000,-10.9536,-63.1536,"Std must be non-negative; got -10.9536 | Variance should match Std^2 (within tolerance); Std=-10.9536, Variance=-10569.7598"
34class + PGD eps=0.30,Ex3,21,13,Std,474.2486,537.4022,63.1536,"Variance should match Std^2 (within tolerance); Std=537.4022, Variance=211617.0938"
34class + PGD eps=0.30,Ex5,22,23,Std,0.0000,-63.1536,-63.1536,"Std must be non-negative; got -63.1536 | Variance should match Std^2 (within tolerance); Std=-63.1536, Variance=-13294.6006"
